grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	interview.1interview.2interview.3interview4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4
982	RNH	0	0	0						0		ST.O.11	ST.O.12	ST.O.13	
993	GH	0	0	0						0		LY.O.11	LY.O.12	LY.O.2	
993	WH	0	0	0						0		LY.O.11	LY.O.12	LY.O.2	
993	OPH	0	0	0						0		LY.O.11	LY.O.12	LY.O.2	
993	RNH	0	0	0						0		LY.O.11	LY.O.12	LY.O.2	
1116	GH	0	0	0						0		PM.O.11	PM.O.12	PM.O.13	
1116	WH	0	0	0						0		PM.O.11	PM.O.12	PM.O.13	
1116	OPH	2	0	2						202	year round	PM.O.11	PM.O.12	PM.O.13	
1116	RNH	2	2	2						222	year round	PM.O.11	PM.O.12	PM.O.13	
1120	GH	2	2	2						222	6,7	BT.O.11	BT.O.12	BT.O.13	
1120	WH	0	0	0						0		BT.O.11	BT.O.12	BT.O.13	
1120	OPH	0	0	0						0		BT.O.11	BT.O.12	BT.O.13	
1120	RNH	2	2	2				6		222		BT.O.11	BT.O.12	BT.O.13	
1165	GH	0	0	0						0		GT.O.11	GT.O.12	GT.O.13	
1165	WH	0	0	0						0		GT.O.11	GT.O.12	GT.O.13	
1165	OPH	0	0	0						0		GT.O.11	GT.O.12	GT.O.13	
1165	RNH	0	0	0						0		GT.O.11	GT.O.12	GT.O.13	
1166	GH	0	0	0						0		GT.O.11	GT.O.12	GT.O.13	
1166	WH	0	0	0						0		GT.O.11	GT.O.12	GT.O.13	
1166	OPH	0	0	0						0		GT.O.11	GT.O.12	GT.O.13	
1166	RNH	0	0	0						0		GT.O.11	GT.O.12	GT.O.13	
1167	GH	0	0	0						0		RM.O.11	RM.O.12	RM.O.13	
1167	WH	0	0	0						0		RM.O.11	RM.O.12	RM.O.13	
1167	OPH	0	0	0						0		RM.O.11	RM.O.12	RM.O.13	
1167	RNH	0	2	0						20		RM.O.11	RM.O.12	RM.O.13	
1180	GH	2	0	2						202	12,1	BT.O.11	BT.O.12	BT.O.13	
1180	WH	0	0	0						0		BT.O.11	BT.O.12	BT.O.13	
1180	OPH	0	0	0						0		BT.O.11	BT.O.12	BT.O.13	
1180	RNH	2	0	2						202		BT.O.11	BT.O.12	BT.O.13	
1218	GH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1218	WH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1218	OPH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1218	RNH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1251	GH	2	0	0	2					2002		ND.O.11	ND.O.12	ND.O.13	ND.O.14
1251	WH	0	0	0	0					0		ND.O.11	ND.O.12	ND.O.13	ND.O.14
1251	OPH	0	2	0	0					200		ND.O.11	ND.O.12	ND.O.13	ND.O.14
1251	RNH	2	2	0	2				5	2202		ND.O.11	ND.O.12	ND.O.13	ND.O.14
1290	GH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1290	WH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1290	OPH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1290	RNH	0	2	0						20		SL.O.11	SL.O.12	SL.O.32	
1291	GH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1291	WH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1291	OPH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1291	RNH	0	0	0						0		SL.O.11	SL.O.12	SL.O.32	
1297	GH	0	0	0						0		PP.O.2	RG.O.1	RG.O.2	
1297	WH	0	0	0						0		PP.O.2	RG.O.1	RG.O.2	
1297	OPH	0	0	0						0		PP.O.2	RG.O.1	RG.O.2	
1297	RNH	0	0	0						0		PP.O.2	RG.O.1	RG.O.2	
1383	GH	0	0	0						0		BR.O.11	BR.O.12	BR.O.13	
1383	WH	1	0	0						100		BR.O.11	BR.O.12	BR.O.13	
1383	OPH	0	0	0						0		BR.O.11	BR.O.12	BR.O.13	
1383	RNH	1	0	0				30		100	1,2,12	BR.O.11	BR.O.12	BR.O.13	
1385	GH	0	0	0	0					0		TP.O.11	TP.O.12	TP.O.13	TP.O.14
1385	WH	0	0	0	0					0		TP.O.11	TP.O.12	TP.O.13	TP.O.14
1385	OPH	0	0	0	0					0		TP.O.11	TP.O.12	TP.O.13	TP.O.14
1385	RNH	0	0	0	0					0		TP.O.11	TP.O.12	TP.O.13	TP.O.14
1390	GH	0	0	0						0		LC.O.11	LC.O.12	LC.O.13	
1390	WH	0	0	0						0		LC.O.11	LC.O.12	LC.O.13	
1390	OPH	0	0	0						0		LC.O.11	LC.O.12	LC.O.13	
1390	RNH	2	0	2						202		LC.O.11	LC.O.12	LC.O.13	
1391	GH	0	0	0						0		LC.O.11	LC.O.12	LC.O.13	
1391	WH	0	0	0						0		LC.O.11	LC.O.12	LC.O.13	
1391	OPH	0	0	0						0		LC.O.11	LC.O.12	LC.O.13	
1391	RNH	2	2	0						220		LC.O.11	LC.O.12	LC.O.13	
1439	GH	0	0	0						0		PP.O.1	PP.O.2	PP.O.3	
1439	WH	0	0	0						0		PP.O.1	PP.O.2	PP.O.3	
1439	OPH	0	0	0						0		PP.O.1	PP.O.2	PP.O.3	
1439	RNH	0	1	0						10		PP.O.1	PP.O.2	PP.O.3	
1457	GH	0	0	0	0					0		TP.O.11	TP.O.12	TP.O.13	TP.O.14
1457	WH	0	0	0	0					0		TP.O.11	TP.O.12	TP.O.13	TP.O.14
