interview.id	grid.id	date	location	sps.known	confidence.indv	exp.indv	purpose.visit.24	purpose.visit.04	dist to grid	proportion.grid.24	frequency.visits.24	proportion.grid.04	frequency.visits.04	activity1.grid.24	activity2.grid.24	activity3.grid.24	activity1.grid.04	activity2.grid.04	activity3.grid.04	hunting.24	hunting.04	food trees	meat.eaten	body.parts	use.body.parts	season.hunting	gender.respondent	age.respondent	ethnicity.respondent	Comments	replicates
BP.O.4	169	12/12/25	bhalukpong	gh,wh,oph	2	1	patroling	na	2	01/02/26	100	na	na	protected area	restoration	NA	NA	NA	NA	no	no	popuri, banderdima	no	no	no	no	m	45	nyishi	NA	4
SN.O.11	170	17/3/25	sukhanala 3 camp	gh, wh, oph, rnh	2	19	patroling	patroling	0	1	100	1	50	protected area	restoration	NA	protected area	NA	NA	no	yes	popuri, banderdima	NA	NA	NA	NA	m	45	nyishi	NA	3
SN.O.12	170	17/3/25	sukhanala 3 camp	gh, wh, oph, rnh	2	19	patroling	patroling	0	1	100	1	50	protected area	restoration	NA	protected area	NA	NA	no	yes	popuri, banderdima	NA	NA	NA	NA	m	45	nyishi	NA	3
SN.O.13	170	17/3/25	sukhanala 3 camp	gh, wh, oph, rnh	2	19	patroling	patroling	0	1	100	1	50	protected area	restoration	NA	protected area	NA	NA	no	yes	popuri, banderdima	NA	NA	NA	NA	m	45	nyishi	NA	3
JT.O.11	184	19/2/26	jote	gh,rnh,oph	2	20	agriculture, mithun herding	agriculture, mithun herding	1	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	hollong, lhepang, sanglee, dhuna	NA	NA	NA	NA	m	40	nyishi	NA	3
JT.O.12	184	19/2/26	jote	gh,rnh,oph	2	40	agriculture, mithun herding	agriculture, mithun herding	1	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
JT.O.13	184	19/2/26	jote	gh,rnh,oph	2	20	agriculture, mithun herding	agriculture, mithun herding	1	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
JT.O.11	185	19/2/26	jote	gh,rnh,oph	2	20	agriculture, mithun herding	agriculture, mithun herding	0	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	gante modo forest has hornbill nests 40 kms away from the grid	3
JT.O.12	185	19/2/26	jote	gh,rnh,oph	2	40	agriculture, mithun herding	agriculture, mithun herding	0	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
JT.O.13	185	19/2/26	jote	gh,rnh,oph	2	20	agriculture, mithun herding	agriculture, mithun herding	0	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
SH.O.4	212	29/11/25	shergaon	rnh	2	35	hunting	hunting	13	03/04/26	3	03/04/26	3	mixed forest	cattle grazing	NA	mixed forest	cattle grazing	NA	no	NA	chudanringba	no	no	no	no	m	50	sherdutpen	NA	2
SH.O.241	212	24/11/25	shergaon	rnh,gh	2	15	hunting	na	4	01/02/26	3	na	na	mixed primary forest	logging	NA	NA	NA	NA	no	no	don't know	na	na	na	na	m	35	sherdutpen	NA	2
SH.O.233	213	23/11/25	shergaon	rnh,gh	2	60	na	hunting	-	na	na	1	10	mixed primary forest	pine	NA	mixed primary forest	pine	NA	no	no	don't know	na	na	na	na	m	83	sherdutpen	NA	3
SH.O.4	213	29/11/25	shergaon	rnh	2	35	hunting	hunting	10	1	10	1	10	mixed forest	cattle grazing	NA	mixed forest	cattle grazing	NA	no	NA	chudanringba	no	no	no	no	m	50	sherdutpen	NA	3
SH.O.241	213	24/11/25	shergaon	rnh,gh	2	15	hunting	na	4	01/02/26	3	na	na	mixed primary forest	logging	NA	NA	NA	NA	no	no	don't know	na	na	na	na	m	35	sherdutpen	NA	3
SC.O.11	216	09/12/25	Singchung	rnh	2	20	patrolling	hunting	0	1	24	03/04/26	2	plantation	forest (temperate mixed)	NA	jhum	agriculture	NA	no	no	mideh, pancham, jamun, nogar, nolaw	yes	NA	NA	NA	m	36	bugun	NA	3
SC.O.12	216	09/12/25	Singchung	rnh	2	25	patrolling	patrolling	0	1	50	03/04/26	2	plantation	forest (temperate mixed)	NA	jhum	agriculture	NA	no	yes	NA	NA	NA	NA	NA	m	35	bugun	NA	3
SC.O.13	216	09/12/25	Singchung	rnh	2	65	patrolling	birding	0	1	24	1	4	plantation	forest (temperate mixed)	NA	jhum	logging	NA	no	yes	peepal sp., magnolia (chanp)	NA	beak	traditional attire	for tinkho - february festival	m	85	bugun	NA	3
SH.O.231	263	23/11/25	shergaon	gh, rnh	2	25	survellience, hunt	hunting	2	03/04/26	50	1	2	forest	timber	plantation	forest	timber	plantation	0	0	don't know	no	na	na	na	m	46	sherdukpen	NA	2
SH.O.233	263	23/11/25	shergaon	rnh,gh	2	60	na	hunting	-	na	na	1	11	mixed primary forest	pine	NA	mixed primary forest	pine	NA	no	no	don't know	na	na	na	na	m	83	sherdutpen	NA	2
SH.O.231	264	23/11/25	shergaon	gh, rnh	2	25	survellience, hunt	hunting	2	1	50	1	100	forest	timber	plantation	forest	timber	plantation	0	0	don't know	no	na	na	na	m	46	sherdukpen	NA	4
SH.O.233	264	23/11/25	shergaon	rnh,gh	2	60	na	hunting	-	na	na	1	10	mixed primary forest	NA	NA	mixed primary forest	NA	NA	no	no	don't know	na	na	na	na	m	83	sherdutpen	NA	4
SH.O.4	264	29/11/25	shergaon	rnh	2	35	hunting	hunting	10	03/04/26	4	03/04/26	4	mixed forest	cattle grazing	NA	mixed forest	cattle grazing	NA	no	NA	chudanringba	no	no	no	no	m	50	sherdutpen	NA	4
SH.O.241	264	24/11/25	shergaon	rnh,gh	2	15	hunting	na	4	01/02/26	3	na	na	mixed primary forest	NA	NA	NA	NA	NA	no	no	don't know	na	na	na	na	m	35	sherdutpen	NA	4
KM.O.11	271	08/12/25	Kimi anti poaching camp	gh, oph, rnh	2	10	patroling	na	1	1	100	na	na	forest	NA	NA	NA	NA	NA	no	NA	NA	no	na	NA	NA	m	32	nyishi	NA	3
KM.O.12	271	08/12/25	Kimi anti poaching camp	gh, oph, rnh	2	10	patroling	na	1	1	100	na	na	forest	NA	NA	NA	NA	NA	no	NA	NA	no	na	NA	NA	m	27	sherdukpen	NA	3
KM.O.13	271	08/12/25	Kimi anti poaching camp	gh, oph, rnh	2	10	patroling	na	1	1	100	na	na	forest	NA	NA	NA	NA	NA	no	NA	NA	no	na	NA	NA	m	30	nyishi	NA	3
KM.O.11	272	08/12/25	Kimi anti poaching camp	gh, oph, rnh	2	10	patroling	na	5	1	3	na	na	forest	NA	NA	NA	NA	NA	no	NA	NA	no	na	NA	NA	m	32	nyishi	NA	3
KM.O.12	272	08/12/25	Kimi anti poaching camp	gh, oph, rnh	2	10	patroling	na	5	1	3	na	na	forest	NA	NA	NA	NA	NA	no	NA	NA	no	na	NA	NA	m	27	sherdukpen	NA	3
KM.O.13	272	08/12/25	Kimi anti poaching camp	gh, oph, rnh	2	10	patroling	na	5	1	3	na	na	forest	NA	NA	NA	NA	NA	no	NA	NA	no	na	NA	NA	m	30	nyishi	NA	3
PK.O.51	280	11/01/26	pakke kesang	wh,rnh,gh	2	30	agriculture, mithun herding	agriculture, mithun herding	0	1	2	1	10	forest	jhum	NA	forest	jhum	NA	yes	yes	sanchar, tatum, cherte	yes	NA	NA	NA	m	49	nyishi	NA	3
PK.O.52	280	11/01/26	pakke kesang	wh,rnh,gh	2	40	agriculture, mithun herding	agriculture, mithun herding	0	1	12	1	36	forest	jhum	NA	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	58	nyishi	NA	3
PK.O.53	280	11/01/26	pakke kesang	wh,rnh,gh	2	20	agriculture, mithun herding	agriculture, mithun herding	0	01/02/26	7	03/04/26	4	forest	jhum	NA	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	39	nyishi	NA	3
PK.O.11	282	11/01/26	pakke kesang	wh,rnh,gh	2	20	agriculture, mithun herding	agriculture, mithun herding, hunting	2	1	36	1	36	forest	jhum	NA	forest	jhum	NA	yes	yes	sanchar, cheri	yes	NA	NA	NA	m	43	nyishi	NA	3
PK.O.12	282	11/01/26	pakke kesang	wh,rnh,gh	2	30	agriculture, mithun herding	agriculture, mithun herding, hunting	2	03/04/26	4	03/04/26	5	forest	jhum	NA	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	48	nyishi	NA	3
PK.O.13	282	11/01/26	pakke kesang	wh,rnh,gh	2	30	agriculture, mithun herding	agriculture, mithun herding, hunting	2	1	1	1	1	forest	jhum	NA	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
KM.O.21	320	08/12/25	Khupi village highway	gh, rnh	2	36	logging, mithun herding, agriculture	logging, mithun herding, agriculture	1	1	50	1	50	forest	forest department plantation	jhum	forest	forest department plantation	jhum	no	no	NA	NA	NA	NA	NA	m	40	aka	NA	3
KM.O.22	320	08/12/25	Khupi village highway	gh, rnh	2	25	logging, mithun herding, agriculture	logging, mithun herding, agriculture	1	1	12	1	24	forest	forest department plantation	jhum	forest	forest department plantation	jhum	yes	yes	peepal, tingur, yaminje, shobi, pateng, lufuje	NA	NA	NA	NA	m	50	aka	NA	3
KM.O.23	320	08/12/25	Khupi village highway	gh, rnh	2	15	logging, mithun herding, agriculture	logging, mithun herding, agriculture	1	1	30	na	na	forest	forest department plantation	jhum	forest	forest department plantation	jhum	yes	yes	NA	NA	NA	NA	NA	m	40	aka	NA	3
TR.O.11	339	22/2/26	toru circle	gh,wh,oph	2	40	resident	resident	0	1	3	1	6	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
TR.O.12	339	22/2/26	toru circle	gh,wh,oph	2	30	resident	resident	0	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
TR.O.13	339	22/2/26	toru circle	gh,wh,oph	2	20	resident	resident	0	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
TR.O.11	340	22/2/26	toru circle	gh,wh,oph	2	40	agriculture, mithun herding	hunting, mithun herding	1	1	3	1	6	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
TR.O.12	340	22/2/26	toru circle	gh,wh,oph	2	30	agriculture, mithun herding	hunting, mithun herding	1	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
TR.O.13	340	22/2/26	toru circle	gh,wh,oph	2	20	agriculture, mithun herding	hunting, mithun herding	1	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
SM.O.11	341	21/2/26	5th mile	gh,wh,oph	2	20	resident	resident	0	1	50	1	50	bamboo plantation	forest	jhum	bamboo plantation	forest	jhum	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
SM.O.12	341	21/2/26	5th mile	gh,wh,oph	2	20	resident	resident	0	1	50	1	50	bamboo plantation	forest	jhum	bamboo plantation	forest	jhum	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
SM.O.13	341	21/2/26	5th mile	gh,wh,oph	2	20	resident	resident	0	01/02/26	50	01/02/26	50	bamboo plantation	forest	jhum	bamboo plantation	forest	jhum	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
