grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	season	interview.id1	interview.id2	interview.id3	interview.id4	det.hist
814	RNH	0	0	1	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.21	NA	001
875	GH	2	0	0	NA	NA	NA	4	NA	10	TR.O.11	TR.O.12	TR.O.13	NA	200
875	WH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
875	OPH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
875	RNH	0	0	2	NA	NA	NA	NA	NA	12	TR.O.11	TR.O.12	TR.O.13	NA	002
878	GH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
878	WH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
878	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
878	RNH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
936	GH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
936	WH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
936	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
936	RNH	2	2	2	NA	NA	5	NA	NA	8,9	LY.O.11	LY.O.12	LY.O.2	NA	222
981	GH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
981	WH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
981	OPH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
981	RNH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
982	GH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
982	WH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
982	OPH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
982	RNH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
993	GH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
