"grid.id"	"species"	"X1"	"X2"	"X3"	"X4"
"275"	1180	"OPH"	0	0	0	NA
"276"	1180	"RNH"	2	0	2	NA
"277"	1218	"GH"	0	0	0	NA
"278"	1218	"WH"	0	0	0	NA
"279"	1218	"OPH"	0	0	0	NA
"280"	1218	"RNH"	0	0	0	NA
"281"	1251	"GH"	2	0	0	2
"282"	1251	"WH"	0	0	0	0
"283"	1251	"OPH"	0	2	0	0
"284"	1251	"RNH"	2	2	0	2
"285"	1290	"GH"	0	0	0	NA
"286"	1290	"WH"	0	0	0	NA
"287"	1290	"OPH"	0	0	0	NA
"288"	1290	"RNH"	0	2	0	NA
"289"	1291	"GH"	0	0	0	NA
"290"	1291	"WH"	0	0	0	NA
"291"	1291	"OPH"	0	0	0	NA
"292"	1291	"RNH"	0	0	0	NA
"293"	1297	"GH"	0	0	0	NA
"294"	1297	"WH"	0	0	0	NA
"295"	1297	"OPH"	0	0	0	NA
"296"	1297	"RNH"	0	0	0	NA
"297"	1383	"GH"	0	0	0	NA
"298"	1383	"WH"	0	0	0	NA
"299"	1383	"OPH"	0	0	0	NA
"300"	1383	"RNH"	0	0	0	NA
"301"	1385	"GH"	0	0	0	0
"302"	1385	"WH"	0	0	0	0
"303"	1385	"OPH"	0	0	0	0
"304"	1385	"RNH"	0	0	0	0
"305"	1390	"GH"	0	0	0	NA
"306"	1390	"WH"	0	0	0	NA
"307"	1390	"OPH"	0	0	0	NA
"308"	1390	"RNH"	2	0	2	NA
"309"	1391	"GH"	0	0	0	NA
"310"	1391	"WH"	0	0	0	NA
"311"	1391	"OPH"	0	0	0	NA
"312"	1391	"RNH"	2	2	0	NA
"313"	1439	"GH"	0	0	0	NA
"314"	1439	"WH"	0	0	0	NA
"315"	1439	"OPH"	0	0	0	NA
"316"	1439	"RNH"	0	0	0	NA
"317"	1457	"GH"	0	0	0	0
"318"	1457	"WH"	0	0	0	0
"319"	1457	"OPH"	0	0	0	0
"320"	1457	"RNH"	0	0	0	0
"321"	1508	"GH"	0	0	0	NA
"322"	1508	"WH"	0	0	0	NA
"323"	1508	"OPH"	0	0	0	NA
"324"	1508	"RNH"	0	0	0	NA
"325"	1580	"GH"	0	0	0	NA
"326"	1580	"WH"	0	0	0	NA
"327"	1580	"OPH"	0	0	0	NA
"328"	1580	"RNH"	0	0	0	NA
"329"	1608	"GH"	0	0	0	NA
"330"	1608	"WH"	0	0	0	NA
"331"	1608	"OPH"	0	0	0	NA
"332"	1608	"RNH"	0	0	0	NA
"333"	1610	"GH"	0	2	2	NA
"334"	1610	"WH"	0	0	0	NA
"335"	1610	"OPH"	0	0	0	NA
"336"	1610	"RNH"	0	2	0	NA
"337"	1611	"GH"	0	2	0	NA
"338"	1611	"WH"	0	0	0	NA
"339"	1611	"OPH"	0	0	0	NA
"340"	1611	"RNH"	0	2	0	NA
"341"	1678	"GH"	0	0	0	NA
"342"	1678	"WH"	0	0	0	NA
"343"	1678	"OPH"	0	0	0	NA
"344"	1678	"RNH"	0	0	0	NA
"345"	1776	"GH"	0	0	0	0
"346"	1776	"WH"	0	0	0	0
"347"	1776	"OPH"	0	0	0	0
"348"	1776	"RNH"	0	0	0	0
"349"	1777	"GH"	0	0	0	NA
"350"	1777	"WH"	0	0	0	NA
"351"	1777	"OPH"	0	0	0	NA
"352"	1777	"RNH"	0	2	0	NA
"353"	1830	"GH"	0	0	0	NA
"354"	1830	"WH"	0	0	0	NA
"355"	1830	"OPH"	0	0	0	NA
"356"	1830	"RNH"	0	0	0	NA
"357"	1883	"GH"	0	0	0	NA
"358"	1883	"WH"	0	0	0	NA
"359"	1883	"OPH"	0	0	0	NA
"360"	1883	"RNH"	0	0	0	NA
"361"	1927	"GH"	0	0	0	0
"362"	1927	"WH"	0	0	0	0
"363"	1927	"OPH"	0	0	0	0
"364"	1927	"RNH"	0	0	0	0
"365"	1928	"GH"	0	0	0	NA
"366"	1928	"WH"	0	0	0	NA
"367"	1928	"OPH"	0	0	0	NA
"368"	1928	"RNH"	0	0	0	NA
"369"	1929	"GH"	0	0	0	NA
"370"	1929	"WH"	0	0	0	NA
"371"	1929	"OPH"	0	0	0	NA
"372"	1929	"RNH"	0	0	0	NA
