interview.id	grid.id	date	location	sps.known	confidence.indv	exp.indv	purpose.visit.24	purpose.visit.04	dist.to.grid	proportion.grid.24	frequency.visits.24	proportion.grid.04	frequency.visits.04	activity1.grid.24	activity2.grid.24	activity3.grid.24	activity1.grid.04	activity2.grid.04	activity3.grid.04	hunting.24	hunting.04	food.trees	meat.eaten	body.parts	use.body.parts	season.hunting	gender.respondent	age.respondent	ethnicity.respondent	Comments	replicates	road_length	mean_elev	elev_band	canopy_height	slope	aspect	geometry
BP.O.3	169	12/12/25	bhalukpong	gh,wh,oph	2	16	patroling	patroling	2	01/02/26	10	na	na	protected area	restoration	NA	NA	NA	NA	no	no	ficus, banderdima, khari	no	no	no	no	m	45	nyishi	NA	4	0	302.939675682444	0-1000m	27.435335401981504	14.24204595021381	178.87325481801363	list(c(92.665353726131, 92.6652196749991, 92.7156504615872, 92.7157643294654, 92.665353726131, 27.0354321013596, 27.0805739316526, 27.0806850208187, 27.0355429756297, 27.0354321013596))
BP.O.4	169	12/12/25	bhalukpong	gh,wh,oph	2	1	patroling	na	2	01/02/26	100	na	na	protected area	restoration	NA	NA	NA	NA	no	no	popuri, banderdima	no	no	no	no	m	45	nyishi	NA	4	0	302.939675682444	0-1000m	27.435335401981504	14.24204595021381	178.87325481801363	list(c(92.665353726131, 92.6652196749991, 92.7156504615872, 92.7157643294654, 92.665353726131, 27.0354321013596, 27.0805739316526, 27.0806850208187, 27.0355429756297, 27.0354321013596))
SN.O.11	170	17/3/25	sukhanala 3 camp	gh, wh, oph, rnh	2	19	patroling	patroling	0	1	100	1	50	protected area	restoration	NA	protected area	NA	NA	no	yes	popuri, banderdima	NA	NA	NA	NA	m	45	nyishi	NA	3	0	282.335975781031	0-1000m	29.129637823339323	14.033240871091055	162.92781848717726	list(c(92.7157643294654, 92.7156504615872, 92.7660815152033, 92.7661751993683, 92.7157643294654, 27.0355429756297, 27.0806850208187, 27.0807780220058, 27.0356357969107, 27.0355429756297))
SN.O.12	170	17/3/25	sukhanala 3 camp	gh, wh, oph, rnh	2	19	patroling	patroling	0	1	100	1	50	protected area	restoration	NA	protected area	NA	NA	no	yes	popuri, banderdima	NA	NA	NA	NA	m	45	nyishi	NA	3	0	282.335975781031	0-1000m	29.129637823339323	14.033240871091055	162.92781848717726	list(c(92.7157643294654, 92.7156504615872, 92.7660815152033, 92.7661751993683, 92.7157643294654, 27.0355429756297, 27.0806850208187, 27.0807780220058, 27.0356357969107, 27.0355429756297))
SN.O.13	170	17/3/25	sukhanala 3 camp	gh, wh, oph, rnh	2	19	patroling	patroling	0	1	100	1	50	protected area	restoration	NA	protected area	NA	NA	no	yes	popuri, banderdima	NA	NA	NA	NA	m	45	nyishi	NA	3	0	282.335975781031	0-1000m	29.129637823339323	14.033240871091055	162.92781848717726	list(c(92.7157643294654, 92.7156504615872, 92.7660815152033, 92.7661751993683, 92.7157643294654, 27.0355429756297, 27.0806850208187, 27.0807780220058, 27.0356357969107, 27.0355429756297))
JT.O.11	184	19/2/26	jote	gh,rnh,oph	2	20	agriculture, mithun herding	agriculture, mithun herding	1	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	hollong, lhepang, sanglee, dhuna	NA	NA	NA	NA	m	40	nyishi	NA	3	8070.86175197046	521.998408289379	0-1000m	24.943453403536793	21.620408376403862	167.44484665186414	list(c(93.4215192661352, 93.4216879749974, 93.4721177969891, 93.4719289065331, 93.4215192661352, 27.0351995891783, 27.0803409688186, 27.0801807328545, 27.03503966318, 27.0351995891783))
JT.O.12	184	19/2/26	jote	gh,rnh,oph	2	40	agriculture, mithun herding	agriculture, mithun herding	1	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3	8070.86175197046	521.998408289379	0-1000m	24.943453403536793	21.620408376403862	167.44484665186414	list(c(93.4215192661352, 93.4216879749974, 93.4721177969891, 93.4719289065331, 93.4215192661352, 27.0351995891783, 27.0803409688186, 27.0801807328545, 27.03503966318, 27.0351995891783))
JT.O.13	184	19/2/26	jote	gh,rnh,oph	2	20	agriculture, mithun herding	agriculture, mithun herding	1	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3	8070.86175197046	521.998408289379	0-1000m	24.943453403536793	21.620408376403862	167.44484665186414	list(c(93.4215192661352, 93.4216879749974, 93.4721177969891, 93.4719289065331, 93.4215192661352, 27.0351995891783, 27.0803409688186, 27.0801807328545, 27.03503966318, 27.0351995891783))
JT.O.11	185	19/2/26	jote	gh,rnh,oph	2	20	agriculture, mithun herding	agriculture, mithun herding	0	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	gante modo forest has hornbill nests 40 kms away from the grid	3	20666.992404523	337.610570585651	0-1000m	21.631612258188788	15.429186758333675	183.0745421876051	list(c(93.4719289065331, 93.4721177969891, 93.5225471760263, 93.5223381047386, 93.4719289065331, 27.03503966318, 27.0801807328545, 27.0800024107006, 27.0348616859775, 27.03503966318))
JT.O.12	185	19/2/26	jote	gh,rnh,oph	2	40	agriculture, mithun herding	agriculture, mithun herding	0	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3	20666.992404523	337.610570585651	0-1000m	21.631612258188788	15.429186758333675	183.0745421876051	list(c(93.4719289065331, 93.4721177969891, 93.5225471760263, 93.5223381047386, 93.4719289065331, 27.03503966318, 27.0801807328545, 27.0800024107006, 27.0348616859775, 27.03503966318))
JT.O.13	185	19/2/26	jote	gh,rnh,oph	2	20	agriculture, mithun herding	agriculture, mithun herding	0	1	50	1	50	bamboo plantation	jhum	logging	forest	jhum	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3	20666.992404523	337.610570585651	0-1000m	21.631612258188788	15.429186758333675	183.0745421876051	list(c(93.4719289065331, 93.4721177969891, 93.5225471760263, 93.5223381047386, 93.4719289065331, 27.03503966318, 27.0801807328545, 27.0800024107006, 27.0348616859775, 27.03503966318))
SH.O.233	213	23/11/25	shergaon	rnh,gh	2	60	na	hunting	-	na	na	1	10	mixed primary forest	pine	NA	mixed primary forest	pine	NA	no	no	don't know	na	na	na	na	m	83	sherdutpen	NA	3	11392.4048228354	2431.98698542492	2000-2500m	33.981426411709	22.194874956070752	194.82430168453578	list(c(92.2617886744741, 92.2614924907127, 92.3119396613306, 92.3122156211371, 92.2617886744741, 27.0790341118517, 27.1241726706036, 27.1244289391765, 27.079289885271, 27.0790341118517))
SH.O.233	213	23/11/25	shergaon	rnh,gh	2	60	na	hunting	-	na	na	1	10	mixed primary forest	pine	NA	mixed primary forest	pine	NA	no	no	don't know	na	na	na	na	m	83	sherdutpen	NA	3	11392.4048228354	2431.98698542492	2000-2500m	33.981426411709	22.194874956070752	194.82430168453578	list(c(92.2617886744741, 92.2614924907127, 92.3119396613306, 92.3122156211371, 92.2617886744741, 27.0790341118517, 27.1241726706036, 27.1244289391765, 27.079289885271, 27.0790341118517))
SH.O.4	213	29/11/25	shergaon	rnh	2	35	hunting	hunting	10	1	10	1	10	mixed forest	cattle grazing	NA	mixed forest	cattle grazing	NA	no	NA	chudanringba	no	no	no	no	m	50	sherdutpen	NA	3	11392.4048228354	2431.98698542492	2000-2500m	33.981426411709	22.194874956070752	194.82430168453578	list(c(92.2617886744741, 92.2614924907127, 92.3119396613306, 92.3122156211371, 92.2617886744741, 27.0790341118517, 27.1241726706036, 27.1244289391765, 27.079289885271, 27.0790341118517))
SH.O.4	213	29/11/25	shergaon	rnh	2	35	hunting	hunting	10	1	10	1	10	mixed forest	cattle grazing	NA	mixed forest	cattle grazing	NA	no	NA	chudanringba	no	no	no	no	m	50	sherdutpen	NA	3	11392.4048228354	2431.98698542492	2000-2500m	33.981426411709	22.194874956070752	194.82430168453578	list(c(92.2617886744741, 92.2614924907127, 92.3119396613306, 92.3122156211371, 92.2617886744741, 27.0790341118517, 27.1241726706036, 27.1244289391765, 27.079289885271, 27.0790341118517))
SH.O.241	213	24/11/25	shergaon	rnh,gh	2	15	hunting	na	4	01/02/26	3	na	na	mixed primary forest	logging	NA	NA	NA	NA	no	no	don't know	na	na	na	na	m	35	sherdutpen	NA	3	11392.4048228354	2431.98698542492	2000-2500m	33.981426411709	22.194874956070752	194.82430168453578	list(c(92.2617886744741, 92.2614924907127, 92.3119396613306, 92.3122156211371, 92.2617886744741, 27.0790341118517, 27.1241726706036, 27.1244289391765, 27.079289885271, 27.0790341118517))
SH.O.241	213	24/11/25	shergaon	rnh,gh	2	15	hunting	na	4	01/02/26	3	na	na	mixed primary forest	logging	NA	NA	NA	NA	no	no	don't know	na	na	na	na	m	35	sherdutpen	NA	3	11392.4048228354	2431.98698542492	2000-2500m	33.981426411709	22.194874956070752	194.82430168453578	list(c(92.2617886744741, 92.2614924907127, 92.3119396613306, 92.3122156211371, 92.2617886744741, 27.0790341118517, 27.1241726706036, 27.1244289391765, 27.079289885271, 27.0790341118517))
SC.O.11	216	09/12/25	Singchung	rnh	2	20	patrolling	hunting	0	1	24	03/04/26	2	plantation	forest (temperate mixed)	NA	jhum	agriculture	NA	no	no	mideh, pancham, jamun, nogar, nolaw	yes	NA	NA	NA	m	36	bugun	NA	3	9206.57746595573	2416.91473424675	2000-2500m	31.07880687270567	28.60503650746416	180.0528375866331	list(c(92.4130714039639, 92.4128358953289, 92.4632848639184, 92.4635001455001, 92.4130714039639, 27.0797471821782, 27.1248871213734, 27.1250890333712, 27.0799487040438, 27.0797471821782))
SC.O.12	216	09/12/25	Singchung	rnh	2	25	patrolling	patrolling	0	1	50	03/04/26	2	plantation	forest (temperate mixed)	NA	jhum	agriculture	NA	no	yes	NA	NA	NA	NA	NA	m	35	bugun	NA	3	9206.57746595573	2416.91473424675	2000-2500m	31.07880687270567	28.60503650746416	180.0528375866331	list(c(92.4130714039639, 92.4128358953289, 92.4632848639184, 92.4635001455001, 92.4130714039639, 27.0797471821782, 27.1248871213734, 27.1250890333712, 27.0799487040438, 27.0797471821782))
