grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4	det.hist
341	RNH	0	0	0	NA	NA	NA	NA	NA	NA	SM.O.11	SM.O.12	SM.O.13	NA	000
375	GH	0	2	0	NA	NA	NA	3	NA	NA	WT.O.11	WT.O.12	WT.O.13	NA	020
375	WH	0	0	0	NA	NA	NA	NA	NA	NA	WT.O.11	WT.O.12	WT.O.13	NA	000
375	OPH	0	0	0	NA	NA	NA	NA	NA	NA	WT.O.11	WT.O.12	WT.O.13	NA	000
375	RNH	2	0	2	NA	NA	NA	8	NA	10,11,12	WT.O.11	WT.O.12	WT.O.13	NA	202
417	GH	0	0	0	NA	0	0	0	NA	NA	BM.O.1	BM.O.2	BM.O.3	NA	000
417	OPH	0	0	0	NA	NA	NA	NA	NA	NA	BM.O.1	BM.O.2	BM.O.3	NA	000
417	RNH	2	0	0	NA	2	0	0	NA	10,11	BM.O.1	BM.O.2	BM.O.3	NA	200
417	WH	0	0	0	NA	0	0	0	NA	NA	BM.O.1	BM.O.2	BM.O.3	NA	000
423	GH	0	2	0	0	0	4	0	0	10,11,12	BN.O.11	BN.O.12	BN.O.13	BN.O.14	0200
423	WH	0	0	0	0	0	0	0	0	NA	BN.O.11	BN.O.12	BN.O.13	BN.O.14	0000
423	OPH	0	0	0	2	NA	NA	NA	10	11	BN.O.11	BN.O.12	BN.O.13	BN.O.14	0002
423	RNH	0	2	2	2	0	NA	NA	50	10,11,12	BN.O.11	BN.O.12	BN.O.13	BN.O.14	0222
424	GH	0	0	0	NA	NA	NA	NA	NA	NA	LL.O.82	CH.O.3	CH.O.4	NA	000
424	WH	0	0	0	NA	NA	NA	NA	NA	NA	LL.O.82	CH.O.3	CH.O.4	NA	000
424	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LL.O.82	CH.O.3	CH.O.4	NA	000
424	RNH	0	0	0	NA	NA	NA	NA	NA	NA	LL.O.82	CH.O.3	CH.O.4	NA	000
426	GH	0	2	0	NA	NA	NA	13	NA	11,12,1	LM.O.11	LM.O.12	LM.O.13	NA	020
426	WH	0	0	0	NA	NA	NA	NA	NA	NA	LM.O.11	LM.O.12	LM.O.13	NA	000
426	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LM.O.11	LM.O.12	LM.O.13	NA	000
426	RNH	0	0	2	NA	NA	NA	12	NA	11,12,1	LM.O.11	LM.O.12	LM.O.13	NA	002
431	GH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
431	WH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
431	OPH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
431	RNH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
438	GH	0	0	0	0	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	TM.O.14	0000
438	WH	0	0	0	0	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	TM.O.14	0000
438	OPH	0	0	0	0	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	TM.O.14	0000
438	RNH	0	2	2	2	NA	NA	NA	NA	NA	TM.O.11	TM.O.13	TM.O.14	NA	0222
439	GH	0	0	0	0	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	TM.O.14	0000
439	WH	0	0	0	0	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	TM.O.14	0000
439	OPH	0	0	0	0	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	TM.O.14	0000
439	RNH	0	0	0	2	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	TM.O.14	0002
486	GH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
486	WH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
486	OPH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
486	RNH	2	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	200
487	GH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
487	WH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
487	OPH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
487	RNH	0	0	0	NA	NA	NA	NA	NA	NA	SG.O.11	SG.O.12	SG.O.21	NA	000
520	GH	0	0	0	NA	NA	NA	NA	NA	NA	LB.O.1	LB.O.2	LB.O.3	NA	000
520	WH	0	0	0	NA	NA	NA	NA	NA	NA	LB.O.1	LB.O.2	LB.O.3	NA	000
520	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LB.O.1	LB.O.2	LB.O.3	NA	000
520	RNH	0	0	0	NA	0	0	0	NA	NA	LB.O.1	LB.O.2	LB.O.3	NA	000
528	RNH	0	0	0	0	0	0	0	NA	summer	KH.O.1	KH.O.2	KH.O.3	NJ.O.1	0000
