"interview.id"	"grid.id"	"date"	"location"	"sps.known"	"confidence.indv"	"exp.indv"	"purpose.visit.24"	"purpose.visit.04"	"dist.to.grid"	"proportion.grid.24"	"frequency.visits.24"	"proportion.grid.04"	"frequency.visits.04"	"activity1.grid.24"	"activity2.grid.24"	"activity3.grid.24"	"activity1.grid.04"	"activity2.grid.04"	"activity3.grid.04"	"hunting.24"	"hunting.04"	"food.trees"	"meat.eaten"	"body.parts"	"use.body.parts"	"season.hunting"	"gender.respondent"	"age.respondent"	"ethnicity.respondent"	"Comments"	"replicates"	"road_length"	"mean_elev"	"elev_band"	"geometry"
"21"	"BH.O.273"	112	"27/11/25"	"boha"	"rnh,gh"	2	20	"road survey"	"protection from other tribes"	"-"	"01/02/26"	"2"	"01/02/26"	"3"	"forest"	NA	NA	"forest"	"jhum"	NA	"no"	"no"	"kar shing se, lam shing se, golo shing se, lung sing se"	"no"	"no"	"no"	"no"	"m"	47	"monpa"	NA	4	809.189497435793	1445.19863787584	"1000-2000m"	"list(c(92.1616078, 92.1612727, 92.2116781, 92.211993, 92.1616078, 26.9881925, 27.0333306, 27.0336219, 26.9884833, 26.9881925))"
"22"	"BH.O.274"	112	"27/11/25"	"boha"	"rnh,gh"	2	45	"cow grazing"	"road survey"	"-"	"01/02/26"	"2"	"01/02/26"	"6"	"forest"	NA	NA	"forest"	"jhum"	NA	"no"	"no"	"kar shing se, lam shing se, golo shing se, lung sing se"	"no"	"no"	"no"	"no"	"m"	47	"monpa"	NA	4	809.189497435793	1445.19863787584	"1000-2000m"	"list(c(92.1616078, 92.1612727, 92.2116781, 92.211993, 92.1616078, 26.9881925, 27.0333306, 27.0336219, 26.9884833, 26.9881925))"
"23"	"EF.O.11"	166	"10/12/25"	"Elephant Flat"	"gh, wh, oph, rnh"	2	30	"patrolling"	"hunting, leisure"	"1"	"1"	"24"	"1"	"30"	"plantation"	"forest"	NA	"forest"	NA	NA	"yes"	"yes"	"peepal, tokko, bonsom"	"yes"	"casque, beak"	"traditional attire"	NA	"m"	40	"Akka"	"nest near Sessum Jigri tree, used between 22-24"	3	0	971.031865422427	"0-1000m"	"list(c(92.514124, 92.5139294, 92.5643591, 92.5645335, 92.514124, 27.0349912, 27.0801321, 27.0802975, 27.0351562, 27.0349912))"
"24"	"EF.O.12"	166	"10/12/25"	"Elephant Flat"	"gh, wh, oph, rnh"	2	30	"patrolling"	"hunting, leisure"	"1"	"1"	"24"	"1"	"30"	"plantation"	"forest"	NA	"forest"	NA	NA	"yes"	"yes"	"peepal, tokko, bonsom"	"yes"	"casque, beak"	"traditional attire"	NA	"m"	40	"Akka"	"nest near Sessum Jigri tree, used between 22-24"	3	0	971.031865422427	"0-1000m"	"list(c(92.514124, 92.5139294, 92.5643591, 92.5645335, 92.514124, 27.0349912, 27.0801321, 27.0802975, 27.0351562, 27.0349912))"
"25"	"EF.O.13"	166	"10/12/25"	"Elephant Flat"	"gh, wh, oph, rnh"	2	30	"patrolling"	"hunting, leisure"	"1"	"1"	"24"	"1"	"30"	"plantation"	"forest"	NA	"forest"	NA	NA	"yes"	"yes"	"peepal, tokko, bonsom"	"yes"	"casque, beak"	"traditional attire"	NA	"m"	40	"Akka"	"nest near Sessum Jigri tree, used between 22-24"	3	0	971.031865422427	"0-1000m"	"list(c(92.514124, 92.5139294, 92.5643591, 92.5645335, 92.514124, 27.0349912, 27.0801321, 27.0802975, 27.0351562, 27.0349912))"
"26"	"BP.O.1"	168	"12/12/25"	"bhalukpong"	"gh,wh,oph"	2	7	"patroling"	"na"	"1"	"1"	"3"	"na"	"na"	"protected area"	"restoration"	NA	NA	NA	NA	"no"	"yes"	"ficus, banderdima, khari"	"no"	"no"	"no"	"no"	"m"	33	"nyishi"	NA	3	0	523.129789590255	"0-1000m"	"list(c(92.6652411, 92.6149434, 92.6147892, 92.6652197, 92.6652411, 27.0370981, 27.0353032, 27.0804448, 27.0805739, 27.0370981))"
"27"	"BP.O.2"	168	"12/12/25"	"bhalukpong"	"gh,wh,oph"	2	30	"patroling"	"patroling"	"1"	"01/04/26"	"24"	"01/04/26"	"24"	"protected area"	"restoration"	NA	"protected area"	NA	NA	"no"	"no"	"ficus, banderdima, khari"	"no"	"no"	"yes"	"no"	"m"	45	"nyishi"	NA	3	0	523.129789590255	"0-1000m"	"list(c(92.6652411, 92.6149434, 92.6147892, 92.6652197, 92.6652411, 27.0370981, 27.0353032, 27.0804448, 27.0805739, 27.0370981))"
"28"	"BP.O.3"	168	"12/12/25"	"bhalukpong"	"gh,wh,oph"	2	16	"patroling"	"patroling"	"2"	"01/02/26"	"10"	"na"	"na"	"protected area"	"restoration"	NA	NA	NA	NA	"no"	"no"	"ficus, banderdima, khari"	"no"	"no"	"no"	"no"	"m"	45	"nyishi"	NA	3	0	523.129789590255	"0-1000m"	"list(c(92.6652411, 92.6149434, 92.6147892, 92.6652197, 92.6652411, 27.0370981, 27.0353032, 27.0804448, 27.0805739, 27.0370981))"
"29"	"BP.O.1"	169	"12/12/25"	"bhalukpong"	"gh,wh,oph"	2	7	"patroling"	"na"	"2"	"01/02/26"	"3"	"na"	"na"	"protected area"	"restoration"	NA	NA	NA	NA	"no"	"no"	"ficus, banderdima, khari"	"no"	"no"	"no"	"no"	"m"	33	"nyishi"	NA	4	0	302.939675682444	"0-1000m"	"list(c(92.6720183, 92.6652197, 92.7156505, 92.7157643, 92.6720183, 27.0354715, 27.0805739, 27.080685, 27.035543, 27.0354715))"
"30"	"BP.O.2"	169	"12/12/25"	"bhalukpong"	"gh,wh,oph"	2	30	"patroling"	"patroling"	"2"	"01/02/26"	"4"	"01/02/26"	"100"	"protected area"	"restoration"	NA	"protected area"	NA	NA	"no"	"no"	"ficus, banderdima, khari"	"no"	"no"	"no"	"no"	"m"	45	"assamese"	NA	4	0	302.939675682444	"0-1000m"	"list(c(92.6720183, 92.6652197, 92.7156505, 92.7157643, 92.6720183, 27.0354715, 27.0805739, 27.080685, 27.035543, 27.0354715))"
